Date,Tasks_Completed,Errors_Found,Time_Spent_Hours,Rework_Count,Error_Rate_%,Productivity_Tasks_Per_Hour,Avg_Time_Per_Task_Minutes,Rework_Ratio_%
2024-01-01,45,3,8.5,2,6.67,5.29,11.33,4.44
2024-01-02,52,5,9.0,3,9.62,5.78,10.38,5.77
2024-01-03,48,2,8.0,1,4.17,6.0,10.0,2.08
2024-01-04,55,4,9.5,2,7.27,5.79,10.36,3.64
2024-01-05,50,6,8.5,4,12.0,5.88,10.2,8.0
2024-01-08,43,2,7.5,1,4.65,5.73,10.47,2.33
2024-01-09,58,3,9.0,2,5.17,6.44,9.31,3.45
2024-01-10,51,7,9.5,5,13.73,5.37,11.18,9.8
2024-01-11,49,4,8.0,3,8.16,6.12,9.8,6.12
2024-01-12,53,2,8.5,1,3.77,6.24,9.62,1.89
2024-01-15,47,5,8.0,3,10.64,5.88,10.21,6.38
2024-01-16,56,3,9.0,2,5.36,6.22,9.64,3.57
2024-01-17,50,6,8.5,4,12.0,5.88,10.2,8.0
2024-01-18,54,4,9.0,2,7.41,6.0,10.0,3.7
2024-01-19,52,3,8.5,2,5.77,6.12,9.81,3.85
2024-01-22,48,8,9.5,6,16.67,5.05,11.88,12.5
2024-01-23,55,2,8.0,1,3.64,6.88,8.73,1.82
2024-01-24,51,5,9.0,3,9.8,5.67,10.59,5.88
2024-01-25,49,4,8.5,2,8.16,5.76,10.41,4.08
2024-01-26,57,3,9.0,2,5.26,6.33,9.47,3.51
2024-01-29,46,6,8.5,4,13.04,5.41,11.09,8.7
2024-01-30,53,4,8.5,3,7.55,6.24,9.62,5.66
2024-01-31,50,5,9.0,3,10.0,5.56,10.8,6.0
2024-02-01,54,3,8.5,2,5.56,6.35,9.44,3.7
2024-02-02,52,7,9.5,5,13.46,5.47,10.96,9.62
2024-02-05,48,2,8.0,1,4.17,6.0,10.0,2.08
2024-02-06,56,4,9.0,3,7.14,6.22,9.64,5.36
2024-02-07,51,5,8.5,3,9.8,6.0,10.0,5.88
2024-02-08,49,3,8.0,2,6.12,6.12,9.8,4.08
2024-02-09,55,6,9.5,4,10.91,5.79,10.36,7.27
